Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C3, C6, C7",C_0402,5,0.1uF,C141382
"C10, C9",CP_Elec_6.3x7.7,2,220uF,C4747974
"C12, C2, C4, C5, C8",C_0402,5,10uF,C15525
"C20, C26",C_0603,2,"10uF,25V",C96446
"C21, C27",C_0402,2,100nF,C1525
"C22, C28",C_0402,2,10pF,C32949
"C23, C29",C_0603,2,10uF,C19702
D1,D_SOD-123,1,Z5V6,C22612
D2,0603,1,Green LED,C122984
J1,C8404_CONN-TH_WJ126V-5_0-2P,1,Motor_Port_1,C8404
"J10, J9",PinHeader_2x03_P2.54mm_Vertical,2,ServoPorts_2x3,C5116479
J11,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,QWIIC,C160390
J12,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,PQWIIC,C160390
J2,C8404_CONN-TH_WJ126V-5_0-2P,1,Motor_Port_2,C8404
J3,C8404_CONN-TH_WJ126V-5_0-2P,1,Motor_Port_3,C8404
J4,C8404_CONN-TH_WJ126V-5_0-2P,1,Motor_Port_4,C8404
J5,BarrelJack_Horizontal,1,Barrel_Jack,C84007
J6,TestPoint_Pad_2.0x2.0mm,1,VIN,
J7,TestPoint_Pad_2.0x2.0mm,1,GND,
"L2, L3",C98354_IND-SMD_L2_5-W2_0_WPN252012H,2,4.7uH,C98354
Q1,SOT-23,1,AO3401A,C15127
R1,R_0603,1,10kΩ,C25804
R10,R_0402,1,68kΩ,C2909379
R11,R_0402,1,4k7Ω,C25900
R12,R_0402,1,15kΩ,C25756
R13,C25744_R0402,1,10kΩ,C25744
R2,R_0402,1,1kΩ,C11702
"R3, R5, R6",R_0402,3,10kΩ,C25744
R9,R_0402,1,33kΩ,C2930004
SW1,C2681588_SW-TH_5_8ZSPT,1,5.8 ZSPT,C2681588
"U1, U2",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,C88224
U5,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,C5191634
"U6, U7",C78989_TSOT-23-6_L2_9-W1_6-P0_95-LS2_8-BR,2,SY8113BADC,C78989
