Designator,Mid X,Mid Y,Rotation,Layer
C1,122.0,-110.5,90.0,top
C10,114.8,-134.0,180.0,top
C12,132.0,-125.5,270.0,top
C13,131.0,-125.5,90.0,top
C2,121.0,-110.5,90.0,top
C20,109.0,-113.0,180.0,top
C21,108.0,-114.5,90.0,top
C22,102.008,-115.0,0.0,top
C23,103.886,-114.0,270.0,top
C26,102.228,-119.5,0.0,top
C27,103.5,-117.5,270.0,top
C28,109.508,-117.872,180.0,top
C29,107.696,-118.872,90.0,top
C3,122.0,-115.5,270.0,top
C4,121.0,-115.5,270.0,top
C5,120.0,-131.5,90.0,top
C6,121.0,-131.5,90.0,top
C7,120.0,-136.5,270.0,top
C8,121.0,-136.5,270.0,top
C9,116.5,-126.5,180.0,top
D1,107.0,-110.0,270.0,top
D2,126.5,-110.5,180.0,top
J1,125.0,-104.0,270.0,top
J10,134.46,-116.23,90.0,top
J11,135.325,-141.0,270.0,top
J12,135.325,-133.0,270.0,top
J2,115.0,-104.0,270.0,top
J3,115.0,-142.0,90.0,top
J4,125.0,-142.0,90.0,top
J5,107.35,-125.375,90.0,top
J6,106.59,-133.5,0.0,bottom
J7,103.5,-133.5,0.0,bottom
J9,134.46,-111.19,90.0,top
JP1,135.0,-127.0,180.0,bottom
JP2,135.0,-124.0,180.0,bottom
JP3,135.0,-121.0,180.0,bottom
L2,109.508,-115.5,270.0,top
L3,101.854,-117.094,90.0,top
Q1,103.5,-109.5,0.0,top
R1,109.0,-111.0,90.0,top
R10,109.508,-118.872,0.0,top
R11,102.008,-113.0,0.0,top
R12,109.508,-119.872,180.0,top
R13,120.5,-134.0,270.0,top
R2,126.2875,-109.0,0.0,top
R3,132.5,-136.5,180.0,top
R5,121.0,-113.0,90.0,top
R6,132.5,-137.5,180.0,top
R9,102.008,-114.0,180.0,top
SW1,104.0,-104.25,180.0,top
U1,115.824,-113.0,180.0,top
U2,126.0,-133.0,0.0,top
U5,126.0,-123.5,0.0,top
U6,106.058,-114.3,270.0,top
U7,105.458,-118.5,90.0,top
